,BaseDateTime,LAT,LON,SOG,COG,Heading,IMO,VesselType,Status,Length,Width,Draft
0,2016-03-01 10:00:00,53.97683,-161.55704,19.7,-121.7,290.0,IMO9408865,71.0,under way using engine,349.0,45.0,9.9
1,2016-03-01 11:00:00,54.03377,-161.87043,19.4,-123.5,288.0,IMO9408865,71.0,under way using engine,349.0,45.0,9.9
33,2016-03-02 19:00:00,54.11652,-161.65217,13.4,-142.8,269.0,IMO9607150,79.0,under way using engine,229.0,32.0,8.8
34,2016-03-02 20:00:00,54.11263,-161.97784,12.0,-139.5,268.0,IMO9607150,79.0,under way using engine,229.0,32.0,8.8
41,2016-03-03 03:00:00,54.04713,-161.84375,11.3,94.0,94.0,IMO8612316,70.0,under way using engine,179.0,33.0,8.4
42,2016-03-03 04:00:00,54.03317,-161.65505,10.0,98.0,91.0,IMO8612316,70.0,under way using engine,179.0,33.0,8.4
245,2016-03-11 15:00:00,54.11778,-161.73386,10.8,-139.4,273.0,IMO9408841,71.0,under way using engine,350.0,46.0,10.4
246,2016-03-11 16:00:00,54.11546,-161.9845,11.5,-147.3,265.0,IMO9408841,71.0,under way using engine,350.0,46.0,10.4
252,2016-03-11 22:00:00,54.10767,-161.7765,17.7,95.0,97.0,IMO9311696,71.0,under way using engine,292.0,32.0,11.8
253,2016-03-11 23:00:00,54.10133,-161.67417,17.3,96.0,97.0,IMO9311696,71.0,under way using engine,292.0,32.0,11.8
256,2016-03-12 02:00:00,20.27635,-159.2177,10.0,39.0,43.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
257,2016-03-12 03:00:00,20.38555,-159.10832,9.7,46.0,47.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
258,2016-03-12 04:00:00,20.51222,-158.96427,9.4,47.0,49.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
259,2016-03-12 05:00:00,20.63037,-158.83725,10.0,42.0,46.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
260,2016-03-12 06:00:00,20.72685,-158.73718,9.9,44.0,45.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
261,2016-03-12 07:00:00,20.85228,-158.60745,9.5,43.0,44.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
262,2016-03-12 08:00:00,20.97445,-158.48162,10.2,45.0,43.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
263,2016-03-12 09:00:00,21.1168,-158.3338,10.9,44.0,44.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
264,2016-03-12 10:00:00,21.19975,-158.27978,5.3,-97.6,311.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
265,2016-03-12 11:00:00,21.21872,-158.30042,3.9,-94.6,315.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
269,2016-03-12 15:00:00,21.24445,-158.21723,8.6,68.0,63.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
270,2016-03-12 16:00:00,21.29848,-158.14603,4.7,37.0,43.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
271,2016-03-12 17:00:00,21.3161,-158.12875,5.4,46.0,50.0,IMO9464510,70.0,under way using engine,224.0,32.0,11.0
282,2016-03-13 04:00:00,54.09681,-161.68874,16.1,-147.6,261.0,IMO9215646,79.0,under way using engine,278.0,40.0,11.8
283,2016-03-13 05:00:00,54.07308,-161.9679,16.1,-142.4,268.0,IMO9215646,79.0,under way using engine,278.0,40.0,11.8
314,2016-03-14 12:00:00,54.02005,-161.72946,9.3,-134.9,274.0,IMO9408877,71.0,under way using engine,350.0,46.0,10.1
315,2016-03-14 13:00:00,54.02537,-161.95105,9.3,-140.7,269.0,IMO9408877,71.0,under way using engine,350.0,46.0,10.1
316,2016-04-03 06:00:00,54.07632,-161.73008,14.3,-131.8,280.0,IMO9344057,70.0,under way using engine,192.0,32.0,7.2
317,2016-04-03 07:00:00,54.09646,-161.97875,14.2,-133.8,275.0,IMO9344057,70.0,under way using engine,192.0,32.0,11.1
338,2016-04-04 04:00:00,53.93661,-161.77948,18.2,-117.7,297.0,IMO9406738,71.0,under way using engine,350.0,46.0,11.5
396,2016-04-06 14:00:00,54.06068,-161.87707,13.5,96.8,94.0,IMO9433664,70.0,under way using engine,229.0,32.0,8.9
397,2016-04-06 15:00:00,54.05233,-161.63109,12.8,94.4,90.0,IMO9433664,70.0,under way using engine,229.0,32.0,8.9
408,2016-04-07 02:00:00,58.7607,-160.09765,16.8,-103.6,307.0,IMO890494100,70.0,under way using engine,130.0,19.0,5.4
409,2016-04-07 03:00:00,58.90908,-160.33288,6.5,-65.6,344.0,IMO890494100,70.0,under way using engine,130.0,19.0,5.4
480,2016-04-10 02:00:00,54.08729,-161.81947,16.7,79.5,83.0,IMO9215646,79.0,under way using engine,278.0,40.0,11.4
481,2016-04-10 03:00:00,54.10126,-161.62027,16.5,83.0,83.0,IMO9215646,79.0,under way using engine,278.0,40.0,11.4
507,2016-04-11 05:00:00,53.99484,-161.69799,18.4,-123.2,287.0,IMO9408865,71.0,under way using engine,349.0,45.0,10.9
508,2016-04-11 06:00:00,54.04131,-161.94543,18.6,-121.8,287.0,IMO9408865,71.0,under way using engine,349.0,45.0,10.9
511,2016-04-11 09:00:00,54.07653,-161.95195,20.1,-133.6,277.0,IMO9128128,71.0,under way using engine,279.0,40.0,12.1
512,2016-05-01 15:00:00,54.08582,-161.99753,16.2,-136.4,274.0,IMO9215634,79.0,under way using engine,278.0,40.0,11.0
545,2016-05-03 00:00:00,54.0335,-161.25877,19.1,-139.6,271.0,IMO9300441,74.0,under way using engine,301.0,43.0,10.4
569,2016-05-04 00:00:00,18.36192,-159.36153,12.4,25.8,28.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
570,2016-05-04 01:00:00,18.53793,-159.27248,12.1,24.7,27.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
571,2016-05-04 02:00:00,18.73319,-159.1697,12.7,25.9,27.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
572,2016-05-04 03:00:00,18.9214,-159.07432,13.0,24.3,28.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
573,2016-05-04 04:00:00,19.10961,-158.97676,12.7,25.4,28.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
574,2016-05-04 05:00:00,19.31956,-158.86659,12.8,25.2,27.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
575,2016-05-04 06:00:00,19.51775,-158.76713,12.7,25.7,26.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
576,2016-05-04 07:00:00,19.72137,-158.66379,13.0,26.3,26.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
577,2016-05-04 08:00:00,19.88241,-158.58035,12.7,26.7,25.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
578,2016-05-04 09:00:00,20.08704,-158.47481,12.6,24.8,24.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
579,2016-05-04 10:00:00,20.28428,-158.37486,12.4,24.4,25.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
580,2016-05-04 11:00:00,20.47576,-158.27671,12.4,27.7,27.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
581,2016-05-04 12:00:00,20.60987,-158.20437,12.5,26.4,26.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
582,2016-05-04 13:00:00,20.84362,-158.08278,12.1,28.0,26.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
583,2016-05-04 14:00:00,21.01139,-157.99593,11.8,20.2,16.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
584,2016-05-04 15:00:00,21.14437,-157.93622,7.5,20.2,15.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
585,2016-05-04 16:00:00,21.16295,-157.94171,11.7,200.6,204.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
586,2016-05-04 17:00:00,21.01487,-158.00186,13.1,202.4,206.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
587,2016-05-04 18:00:00,20.77559,-158.11944,13.2,-201.8,208.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
588,2016-05-04 19:00:00,20.57797,-158.22247,12.7,-204.0,207.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
589,2016-05-04 20:00:00,20.40689,-158.31234,12.6,-203.0,206.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
590,2016-05-04 21:00:00,20.21799,-158.41066,12.9,203.7,205.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
591,2016-05-04 22:00:00,20.00676,-158.51802,12.7,-203.1,206.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
592,2016-05-04 23:00:00,19.81997,-158.61779,12.5,-203.7,204.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
593,2016-05-05 00:00:00,19.6325,-158.72153,12.3,-193.0,215.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
594,2016-05-05 01:00:00,19.47238,-158.85379,12.0,-189.9,215.0,IMO9452907,70.0,under way using engine,189.0,32.0,12.5
595,2016-05-05 02:00:00,54.09034,-161.94991,21.7,-135.1,276.0,IMO9408853,71.0,under way using engine,350.0,46.0,10.5
670,2016-05-08 05:00:00,54.13478,-161.8897,18.0,83.0,85.0,IMO9128128,71.0,under way using engine,279.0,40.0,11.1
671,2016-05-08 06:00:00,54.14573,-161.71172,17.6,83.0,85.0,IMO9128128,71.0,under way using engine,279.0,40.0,11.1
793,2016-05-13 08:00:00,54.06058,-161.79843,12.0,-133.6,273.0,IMO9263253,70.0,under way using engine,190.0,31.0,6.3
794,2016-05-13 09:00:00,54.06785,-161.9076,12.2,-132.6,277.0,IMO9263253,70.0,under way using engine,190.0,31.0,6.3
931,2016-05-19 02:00:00,54.00648,-161.10053,13.3,-127.6,274.0,IMO9385166,70.0,under way using engine,176.0,29.0,10.0
932,2016-05-19 03:00:00,54.04682,-161.47872,12.9,-132.6,278.0,IMO9385166,70.0,under way using engine,176.0,29.0,10.0
933,2016-05-19 04:00:00,54.05905,-161.75157,13.4,-136.6,272.0,IMO9385166,70.0,under way using engine,176.0,29.0,10.0
934,2016-05-19 05:00:00,54.06983,-161.98587,12.9,-131.6,275.0,IMO9385166,70.0,under way using engine,176.0,29.0,10.0
990,2016-05-21 13:00:00,54.0117,-161.77826,11.0,-117.4,288.0,IMO9432529,70.0,under way using engine,175.0,29.0,9.8
991,2016-05-21 14:00:00,54.06085,-161.98482,11.0,-117.9,291.0,IMO9432529,70.0,under way using engine,175.0,29.0,9.8
1003,2016-05-22 02:00:00,54.13051,-161.67133,17.1,86.9,90.0,IMO9215646,79.0,under way using engine,278.0,40.0,10.8
1004,2016-05-22 03:00:00,54.13728,-161.39195,17.3,85.7,90.0,IMO9215646,79.0,under way using engine,278.0,40.0,10.8
1020,2016-05-22 19:00:00,53.95588,-160.21733,15.0,-133.6,275.0,IMO9128128,71.0,under way using engine,279.0,40.0,12.0
1021,2016-05-22 20:00:00,53.99087,-160.72972,15.3,-129.6,281.0,IMO9128128,71.0,under way using engine,279.0,40.0,12.0
1023,2016-05-22 22:00:00,54.065,-161.62388,15.6,-135.6,272.0,IMO9128128,71.0,under way using engine,279.0,40.0,12.0
1024,2016-05-22 23:00:00,54.0869,-161.98827,15.2,-132.6,277.0,IMO9128128,71.0,under way using engine,279.0,40.0,12.0
1125,2016-05-27 04:00:00,53.77183,-161.847,18.3,112.0,112.0,IMO9300441,74.0,under way using engine,301.0,43.0,11.5
1126,2016-05-27 05:00:00,53.67952,-161.48442,18.6,114.0,111.0,IMO9300441,74.0,under way using engine,301.0,43.0,11.5
1164,2016-05-28 19:00:00,54.07402,-161.79415,12.3,98.0,95.0,IMO9687124,70.0,under way using engine,225.0,32.0,8.9
